cluster,cell_type,order
1,Monocyte,2
2,Fibroblast,9
3,EC,1
4,Macrophage,3
5,Monocyte,2
6,Myofibroblast,10
7,Dendritic cell,4
8,T-cell,7
9,B-cell,6
10,Macrophage,3
11,Macrophage,3
12,Pericyte,8
13,Neutrophil,5
